[1] "out_8a_50b_20d_200t_PPC_diag"
[1] "Total iterations: 10000"
[1] "Total minutes: 311.66"
           param   rhat
199 eps_phi[187] 1.0026
200 eps_phi[188] 1.0005
201 eps_phi[189] 1.0013
202 eps_phi[190] 1.0021
203 eps_phi[191] 1.0011
204 eps_phi[192] 1.0033
205 eps_phi[193] 1.0006
206 eps_phi[194] 1.0009
207 eps_phi[195] 1.0019
208 eps_phi[196] 1.0011
209 eps_phi[197] 1.0005
210 eps_phi[198] 1.0008
211 eps_phi[199] 1.0017
212 eps_phi[200] 1.0009
213     eps_p[1] 1.0001
214     eps_p[2] 1.0001
215     eps_p[3] 1.0000
216     eps_p[4] 1.0002
217     eps_p[5] 1.0000
218     eps_p[6] 1.0000
219     eps_p[7] 1.0001
220     eps_p[8] 1.0001
221     eps_p[9] 1.0000
222    eps_p[10] 1.0002
223    eps_p[11] 1.0002
224    eps_p[12] 1.0000
225    eps_p[13] 1.0000
226    eps_p[14] 1.0002
227    eps_p[15] 1.0000
228    eps_p[16] 1.0000
229    eps_p[17] 1.0001
230    eps_p[18] 1.0001
231    eps_p[19] 1.0003
232    eps_p[20] 1.0000
233    eps_p[21] 1.0000
234    eps_p[22] 1.0001
235    eps_p[23] 1.0001
236    eps_p[24] 1.0000
237    eps_p[25] 1.0000
238    eps_p[26] 1.0002
239    eps_p[27] 1.0006
240    eps_p[28] 1.0000
241    eps_p[29] 1.0003
242    eps_p[30] 1.0000
243   eps_phi[1] 1.0010
244   eps_phi[2] 1.0049
245   eps_phi[3] 1.0013
246   eps_phi[4] 1.0012
247   eps_phi[5] 1.0022
248   eps_phi[6] 1.0017
249   eps_phi[7] 1.0009
250   eps_phi[8] 1.0025
251   eps_phi[9] 1.0015
252  eps_phi[10] 1.0010
253  eps_phi[11] 1.0018
254  eps_phi[12] 1.0023
255  eps_phi[13] 1.0014
256  eps_phi[14] 1.0018
257  eps_phi[15] 1.0011
258  eps_phi[16] 1.0016
259  eps_phi[17] 1.0008
260  eps_phi[18] 1.0011
261  eps_phi[19] 1.0013
262  eps_phi[20] 1.0019
263  eps_phi[21] 1.0015
264  eps_phi[22] 1.0022
265  eps_phi[23] 1.0011
266  eps_phi[24] 1.0006
267  eps_phi[25] 1.0021
268  eps_phi[26] 1.0007
269  eps_phi[27] 1.0025
270  eps_phi[28] 1.0013
271  eps_phi[29] 1.0028
272  eps_phi[30] 1.0009
273  eps_phi[31] 1.0012
274  eps_phi[32] 1.0011
275  eps_phi[33] 1.0025
276  eps_phi[34] 1.0019
277  eps_phi[35] 1.0007
278  eps_phi[36] 1.0011
279  eps_phi[37] 1.0013
280  eps_phi[38] 1.0020
281  eps_phi[39] 1.0015
282  eps_phi[40] 1.0012
283  eps_phi[41] 1.0008
284  eps_phi[42] 1.0008
285  eps_phi[43] 1.0031
286  eps_phi[44] 1.0014
287  eps_phi[45] 1.0011
288  eps_phi[46] 1.0014
289  eps_phi[47] 1.0011
290  eps_phi[48] 1.0013
291  eps_phi[49] 1.0018
292  eps_phi[50] 1.0014
293  eps_phi[51] 1.0012
294  eps_phi[52] 1.0013
295  eps_phi[53] 1.0021
296  eps_phi[54] 1.0011
297  eps_phi[55] 1.0017
298  eps_phi[56] 1.0011
299  eps_phi[57] 1.0018
300  eps_phi[58] 1.0016
301  eps_phi[59] 1.0016
302  eps_phi[60] 1.0016
303  eps_phi[61] 1.0022
304  eps_phi[62] 1.0007
305  eps_phi[63] 1.0005
306  eps_phi[64] 1.0012
307  eps_phi[65] 1.0016
308  eps_phi[66] 1.0008
309  eps_phi[67] 1.0010
310  eps_phi[68] 1.0052
311  eps_phi[69] 1.0007
312  eps_phi[70] 1.0012
313  eps_phi[71] 1.0015
314  eps_phi[72] 1.0018
315  eps_phi[73] 1.0010
316  eps_phi[74] 1.0008
317  eps_phi[75] 1.0010
318  eps_phi[76] 1.0017
319  eps_phi[77] 1.0013
320  eps_phi[78] 1.0011
321  eps_phi[79] 1.0011
322  eps_phi[80] 1.0017
323  eps_phi[81] 1.0012
324  eps_phi[82] 1.0007
325  eps_phi[83] 1.0008
326  eps_phi[84] 1.0005
327  eps_phi[85] 1.0016
328  eps_phi[86] 1.0008
329  eps_phi[87] 1.0010
330  eps_phi[88] 1.0014
331  eps_phi[89] 1.0011
332  eps_phi[90] 1.0013
333  eps_phi[91] 1.0016
334  eps_phi[92] 1.0012
335  eps_phi[93] 1.0008
336  eps_phi[94] 1.0010
337  eps_phi[95] 1.0016
338  eps_phi[96] 1.0012
339  eps_phi[97] 1.0031
340  eps_phi[98] 1.0011
341  eps_phi[99] 1.0005
342 eps_phi[100] 1.0012
343 eps_phi[101] 1.0011
344 eps_phi[102] 1.0014
345 eps_phi[103] 1.0014
346 eps_phi[104] 1.0014
347 eps_phi[105] 1.0008
348 eps_phi[106] 1.0007
349 eps_phi[107] 1.0009
350 eps_phi[108] 1.0012
351 eps_phi[109] 1.0011
352 eps_phi[110] 1.0011
353 eps_phi[111] 1.0008
354 eps_phi[112] 1.0006
355 eps_phi[113] 1.0004
356 eps_phi[114] 1.0012
357 eps_phi[115] 1.0019
358 eps_phi[116] 1.0013
359 eps_phi[117] 1.0014
360 eps_phi[118] 1.0012
361 eps_phi[119] 1.0010
362 eps_phi[120] 1.0018
363 eps_phi[121] 1.0014
364 eps_phi[122] 1.0017
365 eps_phi[123] 1.0030
366 eps_phi[124] 1.0016
367 eps_phi[125] 1.0003
368 eps_phi[126] 1.0019
369 eps_phi[127] 1.0018
370 eps_phi[128] 1.0011
371 eps_phi[129] 1.0010
372 eps_phi[130] 1.0008
373 eps_phi[131] 1.0011
374 eps_phi[132] 1.0008
375 eps_phi[133] 1.0013
376 eps_phi[134] 1.0013
377 eps_phi[135] 1.0012
378 eps_phi[136] 1.0013
379 eps_phi[137] 1.0006
380 eps_phi[138] 1.0012
381 eps_phi[139] 1.0020
382 eps_phi[140] 1.0008
383 eps_phi[141] 1.0005
384 eps_phi[142] 1.0011
385 eps_phi[143] 1.0012
386 eps_phi[144] 1.0009
387 eps_phi[145] 1.0011
388 eps_phi[146] 1.0015
389 eps_phi[147] 1.0013
390 eps_phi[148] 1.0017
391 eps_phi[149] 1.0010
